"dataset","object_type","cell_line","sampleid","tissueid","mod_tissueid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","cellosaurus.disease","Cellosaurus.Accession.id","cellosaurus.cvcl_id","cellosaurus.depmap_id","cellosaurus.category","cellosaurus.sex","cellosaurus.age","cellosaurus.metastatic_site","CellLine.Type","Metastatic","n_data_types","has_rnaseq","has_mrna","has_mutation","has_cnv","has_drug","link","CCLE.name","Cell.line.primary.name","Cell.line.aliases","Gender","Site.Primary","Histology","Hist.Subtype1","Notes","Source","Expression.arrays","SNP.arrays","Oncomap","Hybrid.Capture.Sequencing","CCLE_rnaseq.sampleid","PharmacoDB.id","cellosaurus.synonyms","cellosaurus.ncit_id","cellosaurus.cellosaurus.synonyms","cellosaurus.cellosaurus.cvcl_id","cellosaurus.cellosaurus.disease","cellosaurus.cellosaurus.ncit_id","cellosaurus.cellosaurus.category","cellosaurus.cellosaurus.depmap_id","cellosaurus.cellosaurus.sex","cellosaurus.cellosaurus.age","cellosaurus.cellosaurus.metastatic_site","master_ccl_id","ccl_name","ccl_availability","ccle_primary_site","ccle_primary_hist","ccle_hist_subtype_1","EMT","DoublingTime","SeedingDensity","isBlood","isBone","isBone.Marrow","isBrain","isBreast","isCervix","isColon","isConnective.Tissue","isEsophagus","isHead.and.Neck","isKidney","isLiver","isLung","isLymphoid","isMuscle","isOvary","isPancreas","isProstate","isSkin","isSmall.Intestine","isStomach","isUnclassified","isUninary","isUterus","DNADamageMutation","PI3K","MAPK","Sample.Name","GDSC..Tissue.descriptor.1","GDSC..Tissue..descriptor.2","Cancer.Type...matching.TCGA.label.","COSMIC.identifier","Whole.Exome.Sequencing..WES.","Copy.Number.Alterations..CNA.","Gene.Expression","Methylation","Drug..Response","Microsatellite...instability.Status..MSI.","Screen.Medium","Growth.Properties","has_rna","PRISM.sampleid","PRISM.tissueid","depmap_id","primary_tissue","secondary_tissue","tertiary_tissue","passed_str_profiling"
"CCLE_2015","MAE","143B","143B","Bone","Bone","bone","Osteosarcoma","Osteosarcoma","CVCL_2270","CVCL_2270","ACH-001001","Cancer cell line","Female","13Y",NA,"Cancer cell line",NA,4,FALSE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/143B_BONE","143B_BONE","143B",NA,"F","bone","osteosarcoma","NS","Identical lines: HTK-, HOS and 143B share high SNP identity and are very likely to be osteosarcoma","ATCC","MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F09_454702","BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_D02_464552","yes",NA,NA,"143B_3_2019","'143b','143 B','143B TK-','143B.TK-','143BTK-','143TK-','HOS-143B','HOS-143b','GM05887','GM05887A'","C9145","'143b','143 B','143B TK-','143B.TK-','143BTK-','143TK-','HOS-143B','HOS-143b','GM05887','GM05887A'","CVCL_2270","Osteosarcoma","C9145","Cancer cell line","ACH-001001","Female","13Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","A-204","A-204","Soft Tissue","Soft Tissue","soft_tissue","Embryonal rhabdomyosarcoma","Embryonal rhabdomyosarcoma","CVCL_1058","CVCL_1058","ACH-000201","Cancer cell line","Female","1Y",NA,"Cancer cell line",NA,5,TRUE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/A204_SOFT_TISSUE","A204_SOFT_TISSUE","A-204",NA,"F","soft_tissue","rhabdoid_tumour","NS",NA,"ATCC","BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_G04_241192","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A03_293284","yes","yes","A-204","A204_37_2019","'A204'","C8971","'A204'","CVCL_1058","Embryonal rhabdomyosarcoma","C8971","Cancer cell line","ACH-000201","Female","1Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","A-673","A-673","Bone","Bone","bone","Ewing sarcoma","Ewing sarcoma","CVCL_0080","CVCL_0080","ACH-000052","Cancer cell line","Female","15Y",NA,"Cancer cell line",NA,5,TRUE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/A673_BONE","A673_BONE","A-673",NA,"F","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","NS",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_B01_383784","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_D12_335282","yes","yes","A-673","A673_49_2019","'A673','RMS 1598','RMS1598'","C4817","'A673','RMS 1598','RMS1598'","CVCL_0080","Ewing sarcoma","C4817","Cancer cell line","ACH-000052","Female","15Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","CADO-ES1","CADO-ES1","Bone","Bone","bone","Ewing sarcoma","Ewing sarcoma","CVCL_1103","CVCL_1103","ACH-000210","Cancer cell line","Female","19Y"," Pleural effusion ","Cancer cell line","TRUE",5,TRUE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/CADOES1_BONE","CADOES1_BONE","CADO-ES1",NA,"F","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","NS",NA,"DSMZ","WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D08_474656","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E12_490484","yes","yes","CADO-ES1","CADOES1_162_2019","'CADO-ES-1','Cado-ES-1','CADO ES1','CADOES1','CADO-ES','Cado-ES','ESCADO1','Center for Adult Diseases Osaka-Ewing Sarcoma 1'","C4817","'CADO-ES-1','Cado-ES-1','CADO ES1','CADOES1','CADO-ES','Cado-ES','ESCADO1','Center for Adult Diseases Osaka-Ewing Sarcoma 1'","CVCL_1103","Ewing sarcoma","C4817","Cancer cell line","ACH-000210","Female","19Y"," Pleural effusion ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","CAL-78","CAL-78","Bone","Bone","soft_tissue","Dedifferentiated chondrosarcoma","Dedifferentiated chondrosarcoma","CVCL_1809","CVCL_1809","ACH-000516","Cancer cell line","Male","76Y",NA,"Cancer cell line",NA,5,TRUE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/CAL78_BONE","CAL78_BONE","CAL-78",NA,"M","bone","chondrosarcoma","dedifferentiated",NA,"DSMZ","SILOS_p_NCLE_RNA9_HG-U133_Plus_2_H04_523550","CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_G02_490488","yes","yes","CAL-78","CAL78_176_2019","'CAL 78','CAL78','Centre Antoine Lacassagne-78'","C6476","'CAL 78','CAL78','Centre Antoine Lacassagne-78'","CVCL_1809","Dedifferentiated chondrosarcoma","C6476","Cancer cell line","ACH-000516","Male","76Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","ESS-1","ESS-1","Uterus","Soft Tissue","endometrium","Endometrioid stromal sarcoma","Endometrioid stromal sarcoma","CVCL_1205","CVCL_1205","ACH-000913","Cancer cell line","Female","76Y",NA,"Cancer cell line",NA,5,TRUE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/ESS1_ENDOMETRIUM","ESS1_ENDOMETRIUM","ESS-1",NA,"F","endometrium","carcinoma","carcinosarcoma-malignant_mesodermal_mixed_tumour",NA,"DSMZ","NIECE_p_NCLE_RNA3_HG-U133_Plus_2_C07_296050","HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_B11_293324","yes","yes","ESS-1","ESS1_347_2019","'ESS1','Endometrial Stromal Sarcoma-1'","C8973","'ESS1','Endometrial Stromal Sarcoma-1'","CVCL_1205","Endometrioid stromal sarcoma","C8973","Cancer cell line","ACH-000913","Female","76Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","EW-8","EW-8","Bone","Bone","bone","Ewing sarcoma","Ewing sarcoma","CVCL_V618","CVCL_V618","ACH-000499","Cancer cell line","Male","Age unspecified",NA,"Cancer cell line",NA,4,TRUE,TRUE,FALSE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/EW8_BONE","EW8_BONE","EW8",NA,NA,"bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","NS",NA,"Academic Lab / Achilles","RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_D08_767918","EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_G09_780282",NA,NA,NA,"EW8_361_2019","'EW8'","C4817","'EW8'","CVCL_V618","Ewing sarcoma","C4817","Cancer cell line","ACH-000499","Male","Age unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","EWS-502","EWS-502","Bone","Bone","bone","Ewing sarcoma","Ewing sarcoma","CVCL_S740","CVCL_S740","ACH-000279","Cancer cell line","Sex unspecified","Age unspecified",NA,"Cancer cell line",NA,4,TRUE,TRUE,FALSE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/EWS502_BONE","EWS502_BONE","EWS502",NA,NA,"bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","NS",NA,"Academic Lab / Achilles","RILLS_p_AchillesExp_Mar2011_1_HG-U133_Plus_2_A10_767880","EPHOR_p_NCLE_Achilles_DNAAffy15_GenomeWideSNP_6_F01_780336",NA,NA,NA,"EWS502_362_2019","'EWS/502','EWS502'","C4817","'EWS/502','EWS502'","CVCL_S740","Ewing sarcoma","C4817","Cancer cell line","ACH-000279","Sex unspecified","Age unspecified",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","G-292 clone A141B1","G-292 clone A141B1","Bone","Bone","bone","Osteosarcoma","Osteosarcoma","CVCL_2909","CVCL_2909","ACH-000082","Cancer cell line","Female","9Y",NA,"Cancer cell line",NA,4,TRUE,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"G-292 clone A141B1","G292,cloneA141B1_372_2019","'G 292 Clone A 141B1','G-292, clone A141B1','G292CLONEA141B1','G-292','G292'","C9145","'G 292 Clone A 141B1','G-292, clone A141B1','G292CLONEA141B1','G-292','G292'","CVCL_2909","Osteosarcoma","C9145","Cancer cell line","ACH-000082","Female","9Y",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CCLE_2015","MAE","GCT","GCT","Soft Tissue","Soft Tissue","soft_tissue","Undifferentiated pleomorphic sarcoma","Undifferentiated pleomorphic sarcoma","CVCL_1229","CVCL_1229","ACH-000835","Cancer cell line","Male","29Y"," Pleural effusion ","Cancer cell line","TRUE",5,TRUE,TRUE,TRUE,TRUE,TRUE,"http://www.broadinstitute.org/ccle/cell%20lines/GCT_SOFT_TISSUE","GCT_SOFT_TISSUE","GCT",NA,"M","soft_tissue","malignant_fibrous_histiocytoma-pleomorphic_sarcoma","NS",NA,"ATCC","CASED_p_NCLE_RNA4_HG-U133_Plus_2_D05_383696","FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E12_335306","yes","yes","GCT","GCT_401_2019","'Giant Cell Tumor'","C4247","'Giant Cell Tumor'","CVCL_1229","Undifferentiated pleomorphic sarcoma","C4247","Cancer cell line","ACH-000835","Male","29Y"," Pleural effusion ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
